                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.76452,                  0.632,                 1.1515,                0.81239,                0.66655,                 1.1646,                0.90336,                0.88756,                0.92513,                0.63735,                 1.0257,                0.59023,                 1.5241,                 1.0532,                0.53387,                 1.5324,                0.00769,                0.00769,                0.00769
                     73,                0.75828,                0.63333,                 1.1468,                0.80735,                 0.6708,                   1.16,                0.89174,                0.90634,                0.92667,                0.63993,                 1.0256,                0.59077,                 1.5254,                 1.0461,                0.53881,                 1.5317,               0.007657,               0.007657,               0.007657
                     74,                0.76112,                 0.6216,                 1.1473,                0.81271,                0.65555,                 1.1606,                 0.8979,                0.90579,                 0.9276,                0.64299,                 1.0206,                0.58211,                 1.5246,                 1.0455,                0.52603,                 1.5334,               0.007624,               0.007624,               0.007624
                     75,                0.75801,                0.61739,                 1.1453,                0.81112,                0.64962,                 1.1587,                0.90202,                0.90087,                0.92668,                0.64304,                 1.0201,                0.58066,                 1.5265,                 1.0369,                0.53397,                 1.5271,               0.007591,               0.007591,               0.007591
                     76,                0.75125,                0.61613,                 1.1404,                0.80018,                0.64936,                 1.1538,                0.89187,                0.90562,                0.92523,                0.64389,                 1.0278,                0.57247,                 1.5336,                  1.037,                0.53858,                 1.5273,               0.007558,               0.007558,               0.007558
                     77,                0.75513,                0.61113,                  1.146,                0.80601,                0.64318,                 1.1575,                0.88653,                0.90973,                0.92545,                0.64335,                 1.0294,                0.57466,                 1.5355,                  1.046,                0.52837,                 1.5334,               0.007525,               0.007525,               0.007525
                     78,                0.74799,                0.61215,                 1.1424,                0.79824,                 0.6451,                 1.1553,                0.90548,                0.89002,                0.92899,                0.64109,                 1.0298,                 0.5724,                 1.5372,                 1.0441,                0.53331,                 1.5313,               0.007492,               0.007492,               0.007492
                     79,                0.74402,                0.60852,                 1.1387,                0.79617,                0.63442,                 1.1517,                0.89333,                0.90865,                0.92679,                0.64229,                   1.03,                 0.5801,                  1.539,                  1.048,                0.54552,                 1.5336,               0.007459,               0.007459,               0.007459
                     80,                0.74623,                0.61504,                 1.1404,                0.79961,                0.65052,                 1.1548,                0.89443,                  0.905,                0.92772,                0.63988,                 1.0279,                0.58594,                 1.5376,                 1.0459,                0.54593,                 1.5325,               0.007426,               0.007426,               0.007426
                     81,                 0.7423,                0.60863,                 1.1378,                0.79386,                0.63008,                 1.1507,                0.89025,                0.90916,                0.92697,                0.64179,                 1.0271,                0.58776,                 1.5374,                 1.0479,                0.55071,                 1.5341,               0.007393,               0.007393,               0.007393
                     82,                0.74103,                0.59859,                 1.1372,                0.79143,                0.63225,                   1.15,                0.89279,                0.91383,                0.93009,                 0.6445,                  1.024,                0.58682,                 1.5375,                 1.0371,                0.56627,                 1.5307,                0.00736,                0.00736,                0.00736
                     83,                 0.7319,                0.59069,                 1.1318,                0.77794,                0.62984,                 1.1434,                0.89873,                0.90128,                0.92926,                0.64372,                 1.0299,                0.58694,                  1.546,                  1.045,                0.55878,                 1.5403,               0.007327,               0.007327,               0.007327
                     84,                0.73332,                0.58674,                 1.1352,                0.78149,                0.62331,                 1.1462,                0.89937,                0.90771,                0.93202,                0.64587,                  1.035,                0.59067,                 1.5519,                 1.0483,                0.56849,                 1.5452,               0.007294,               0.007294,               0.007294
                     85,                0.72882,                0.59412,                 1.1331,                0.77802,                0.62509,                 1.1445,                0.90733,                 0.9062,                0.93005,                0.64306,                 1.0404,                 0.5948,                 1.5571,                 1.0507,                0.57656,                 1.5466,               0.007261,               0.007261,               0.007261
                     86,                 0.7248,                0.58482,                 1.1277,                0.77261,                0.61686,                 1.1403,                0.90682,                0.89985,                0.92882,                0.64218,                 1.0397,                0.59488,                 1.5594,                 1.0574,                0.57192,                 1.5548,               0.007228,               0.007228,               0.007228
                     87,                0.72733,                0.58702,                   1.13,                0.77644,                0.61905,                 1.1429,                0.89149,                0.91368,                0.92877,                0.64131,                 1.0412,                0.59923,                 1.5613,                 1.0658,                0.57144,                 1.5611,               0.007195,               0.007195,               0.007195
