               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,             0.02327,             0.01073,            0.016753,             0.87725,             0.89633,             0.90597,             0.62358,            0.013564,           0.0032603,           0.0056133,           0.0071884,           0.0071884,           0.0071884
                 144,             0.02295,            0.010694,            0.017281,             0.87585,             0.89861,             0.90552,             0.62453,             0.01356,           0.0032693,           0.0056865,           0.0071686,           0.0071686,           0.0071686
                 145,            0.023367,            0.010701,            0.016875,             0.88699,             0.88767,             0.90597,             0.62573,            0.013521,           0.0032795,           0.0056266,           0.0071488,           0.0071488,           0.0071488
                 146,            0.023278,            0.010724,             0.01706,             0.86938,             0.89914,             0.90398,             0.62168,            0.013531,           0.0032886,           0.0054601,            0.007129,            0.007129,            0.007129
                 147,            0.023145,            0.010619,            0.016894,             0.87069,             0.90105,             0.90479,             0.62229,            0.013507,           0.0032963,           0.0053801,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023485,            0.010629,            0.016947,             0.89321,             0.87996,             0.90252,             0.62166,            0.013481,           0.0032984,           0.0053775,           0.0070894,           0.0070894,           0.0070894
                 149,             0.02298,            0.010639,            0.016627,             0.88485,             0.88816,              0.9024,             0.62013,            0.013449,           0.0033101,           0.0051162,           0.0070696,           0.0070696,           0.0070696
                 150,            0.023174,            0.010749,            0.016851,             0.86268,              0.9058,             0.90203,             0.61752,            0.013482,           0.0033045,           0.0050445,           0.0070498,           0.0070498,           0.0070498
                 151,            0.022945,            0.010638,            0.016943,             0.87511,             0.89423,             0.90176,             0.61592,            0.013536,           0.0033027,            0.005136,             0.00703,             0.00703,             0.00703
                 152,            0.023229,            0.010618,            0.017046,             0.87378,             0.89404,             0.90208,             0.61978,            0.013536,           0.0032908,           0.0051788,           0.0070102,           0.0070102,           0.0070102
                 153,            0.022979,            0.010691,            0.016684,             0.87944,              0.8826,             0.90131,             0.61969,            0.013602,           0.0032833,           0.0054145,           0.0069904,           0.0069904,           0.0069904
                 154,            0.023105,            0.010672,            0.016777,             0.87759,             0.88986,             0.90213,             0.61933,            0.013606,           0.0032791,           0.0054911,           0.0069706,           0.0069706,           0.0069706
